,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),Total Annual Members (All Time),3-Day Passes Purchased (midnight to 11:59 pm)
0,1/1/2016,11009,24429,919,159362,
1,1/2/2016,14587,29093,877,159403,
2,1/3/2016,15499,29616,784,159459,
3,1/4/2016,19593,36172,166,159502,
4,1/5/2016,18053,32049,121,159534,
5,1/6/2016,24569,40996,265,159564,
6,1/7/2016,27773,45986,318,159588,
7,1/8/2016,28709,47061,364,159621,
8,1/9/2016,20846,37341,632,159654,
9,1/10/2016,14275,25404,391,159682,
10,1/11/2016,22937,37393,155,159731,
11,1/12/2016,25211,38958,151,159761,
12,1/13/2016,21133,31608,82,159792,
13,1/14/2016,23780,37295,123,159813,
14,1/15/2016,28435,45993,379,159841,
15,1/16/2016,19178,35791,803,159885,
16,1/17/2016,12024,20487,387,159910,
17,1/18/2016,12718,19998,123,159931,
18,1/19/2016,17281,26966,64,159957,
19,1/20/2016,23419,35477,126,159972,
20,1/21/2016,23671,36048,133,159991,
21,1/22/2016,20950,31344,115,160004,
22,1/23/2016,0,0,0,160005,
23,1/24/2016,0,0,0,160013,
24,1/25/2016,0,0,0,160020,
25,1/26/2016,0,0,0,160028,
26,1/27/2016,6760,13698,54,160039,
27,1/28/2016,11944,22314,81,160053,
28,1/29/2016,16028,26896,118,160064,
29,1/30/2016,12964,23350,328,160084,
30,1/31/2016,16112,31280,533,160118,
31,2/1/2016,24334,42380,202,160160,
32,2/2/2016,28527,47742,280,160189,
33,2/3/2016,16203,24225,63,160216,
34,2/4/2016,27765,47458,304,160247,
35,2/5/2016,13669,25538,102,160257,
36,2/6/2016,16933,38782,586,160280,
37,2/7/2016,17605,31524,622,160316,
38,2/8/2016,19026,28648,80,160335,
39,2/9/2016,22740,40198,156,160364,
40,2/10/2016,22418,38402,130,160395,
41,2/11/2016,18747,27783,87,160425,
42,2/12/2016,16445,27143,104,160450,
43,2/13/2016,6625,11589,46,160459,
44,2/14/2016,4652,6934,78,160468,
45,2/15/2016,5883,8747,43,160480,
